id,title,subjects,Topics Predicted,max similarity,min similarity,mean similarity,median similarity
PMC3310815,Induced Release of a Plant-Defense Volatile ‘Deceptively’ Attracts Insect Vectors to Plants Infected with a Bacterial Pathogen,"Ecology
Crops
Zoology
Agriculture
Biology","organism
chemistry
breastfeeding
pharmacology
sociology
chemical element
forestry science",2.2512917986064953,0.9295359586241757,1.4453305903895892,1.3350010667323402
PMC3547067,Carbon and Nitrogen Isotopic Survey of Northern Peruvian Plants: Baselines for Paleodietary and Paleoecological Studies,"Paleobotany
Ecology
Anthropology
Radiochemistry
Isotopes
Earth Sciences
Geochemistry
Chemistry
Archaeology
Biology
Paleontology","protein
specialty
statistics
area studies
agriculture
regional studies
science",2.538973871058276,1.072636802264849,1.6911887128516345,1.55814461804655
PMC3672096,Emissions of CH4 and N2O under Different Tillage Systems from Double-Cropped Paddy Fields in Southern China,"Ecology
Earth Sciences
Agriculture
Climatology
Climate Change
Biology","agriculture
physics
area studies
regional studies
occurrence
physical property
geographic region",3.6375861597263857,1.4403615823901665,2.2000547269033945,1.6916760106710724
PMC3904951,Diversity and Spatial Structure of Belowground Plant–Fungal Symbiosis in a Mixed Subtropical Forest of Ectomycorrhizal and Arbuscular Mycorrhizal Plants,"Fungi
Forestry
Botany
Ecology
Microbiology
Agriculture
Biodiversity
Mycology
Biology","organism
statistics
biology
taxon
mathematical analysis
specialty
forestry science",3.6375861597263857,1.3350010667323402,2.152276345246925,1.6916760106710724
PMC3951315,Effects of Introduced and Indigenous Viruses on Native Plants: Exploring Their Disease Causing Potential at the Agro-Ecological Interface,"Ecology
Crops
Microbiology
Agriculture
Ecosystems
Biodiversity
Biology
Virology","organism
taxon
area studies
regional studies
pharmacology
anthropology
biology",3.6375861597263857,1.3350010667323402,2.2771072070615235,2.0281482472922856
PMC4067337,Effects of Winter Cover Crops Residue Returning on Soil Enzyme Activities and Soil Microbial Community in Double-Cropping Rice Fields,"Ecology
Rice
Crops
Biotechnology
Microbiology
Agriculture","agriculture
agriculture
physics
interaction science
agricultural science
chemical substance
gender studies",3.6375861597263857,1.4403615823901665,2.685920537283806,2.832867203509336
PMC4128675,"Involvement of Potato (Solanum tuberosum L.) MKK6 in Response to Potato virus Y
","Hormones
Biochemistry
Plant Hormones","protein
area of mathematics
protein
taxon
biopolymer
chemical compound
cell biology",1.845826690498331,0.9985288301111273,1.4675000462186694,1.55814461804655
PMC4171492,"Multiple Different Defense Mechanisms Are Activated in the Young Transgenic Tobacco Plants Which Express the Full Length Genome of the Tobacco Mosaic Virus, and Are Resistant against this Virus","Tobacco Mosaic Virus
Molecular Biology
Microbiology","protein
biological process
chemistry
protein
chemical compound
biopolymer
RNA",2.0281482472922856,1.4403615823901665,1.8322193589915792,2.0281482472922856
PMC4397498,Plant defense phenotypes determine the consequences of volatile emission for individuals and neighbors,Ecology,"organism
science
concept
interaction science
statistics
group
biology",1.6916760106710724,1.6916760106710724,1.6916760106710724,1.6916760106710724
PMC4623198,Beyond conservation agriculture,Environmental Science,"agriculture
branch of science
science
agriculture
geology
natural science
Earth sciences",2.2512917986064953,2.2512917986064953,2.2512917986064953,2.2512917986064953
